Specimen ID,NCBI Accession Number,WGS ID,AST Approved,WGS Approved,Genus,Species,Serotype,Data Year,Region Name,Resistance Pattern,Resistance Determinants,Predictive Resistance Pattern,AMP Rslt,AMP Concl,AUG Rslt,AUG Concl,AXO Rslt,AXO Concl,CHL Rslt,CHL Concl,FIS Rslt,FIS Concl,FOX Rslt,FOX Concl,TET Rslt,TET Concl
2015AM-0168,SAMN07489293,2015AM-0168,yes,yes,Salmonella,enterica,Typhimurium,2015,Region 6,ST,aph(3'')-Ib aph(6)-Id tet(A) ,ST,1,S,2,S,0.25,S,4,S,16,S,2,S,32,R
2015AM-0171,SAMN07489300,2015AM-0171,yes,yes,Salmonella,enterica,Typhimurium,2015,Region 6,AST,No determinants detected,No determinants detected,32,R,8,S,0.25,S,8,S,16,S,2,S,32,R
2015AM-0285,SAMN07551789,2015AM-0285,yes,yes,Salmonella,enterica,Typhimurium,2015,Region 5,ACSSuTCipNalGenCot,aac(3)-IId aadA1 aadA2 aph(3'')-Ib aph(3')-Ia aph(6)-Id blaTEM-1B cmlA1 dfrA12 floR qnrB19 sul3 tet(A) ,ACSSuTCip(I/R)GenKanCotTmp,32,R,8,S,0.25,S,32,R,256,R,4,S,32,R
2015AM-0256,SAMN07281127,2015AM-0256,yes,yes,Salmonella,enterica,Typhimurium,2015,Region 7,No resistance detected,No determinants detected,No determinants detected,1,S,1,S,0.25,S,8,S,32,S,2,S,4,S
2015AM-0293,SAMN07258014,2015AM-0293,yes,yes,Salmonella,enterica,Typhimurium,2015,Region 4,No resistance detected,No determinants detected,No determinants detected,1,S,1,S,0.25,S,8,S,32,S,2,S,4,S
2015AM-0244,SAMN07258049,2015AM-0244,yes,yes,Salmonella,enterica,Typhimurium,2015,Region 6,No resistance detected,No determinants detected,No determinants detected,1,S,1,S,0.25,S,4,S,32,S,4,S,4,S
2015AM-0234,SAMN07280782,2015AM-0234,yes,yes,Salmonella,enterica,Typhimurium,2015,Region 3,No resistance detected,No determinants detected,No determinants detected,1,S,1,S,0.25,S,4,S,32,S,2,S,4,S
2015AM-0235,SAMN07280779,2015AM-0235,yes,yes,Salmonella,enterica,Typhimurium,2015,Region 3,No resistance detected,No determinants detected,No determinants detected,2,S,1,S,0.25,S,8,S,64,S,2,S,4,S
2015AM-0509,SAMN07415555,2015AM-0509,yes,yes,Salmonella,enterica,Typhimurium,2015,Region 9,No resistance detected,No determinants detected,No determinants detected,1,S,1,S,0.25,S,8,S,32,S,2,S,4,S
2015AM-0315,SAMN07516129,2015AM-0315,yes,yes,Salmonella,enterica,Typhimurium,2015,Region 2,No resistance detected,No determinants detected,No determinants detected,1,S,1,S,0.25,S,8,S,32,S,2,S,4,S
2015AM-0513,SAMN07415500,2015AM-0513,yes,yes,Salmonella,enterica,Typhimurium,2015,Region 7,No resistance detected,No determinants detected,No determinants detected,1,S,1,S,0.25,S,4,S,32,S,2,S,4,S
2015AM-0408,SAMN07370411,2015AM-0408,yes,yes,Salmonella,enterica,Typhimurium,2015,Region 4,SSuT,aph(3'')-Ib aph(6)-Id sul2 tet(A) ,SSuT,1,S,1,S,0.25,S,4,S,256,R,4,S,32,R
2015AM-0407,SAMN07370420,2015AM-0407,yes,yes,Salmonella,enterica,Typhimurium,2015,Region 4,No resistance detected,No determinants detected,No determinants detected,1,S,1,S,0.25,S,8,S,32,S,2,S,4,S
2015AM-0362,SAMN07518796,2015AM-0362,yes,yes,Salmonella,enterica,Typhimurium,2015,Region 2,T,No determinants detected,No determinants detected,1,S,1,S,0.25,S,8,S,32,S,2,S,32,R
2015AM-0361,SAMN07518813,2015AM-0361,yes,yes,Salmonella,enterica,Typhimurium,2015,Region 2,SSu,No determinants detected,No determinants detected,2,S,2,S,0.25,S,8,S,256,R,4,S,4,S
2015AM-0476,SAMN07508315,2015AM-0476,yes,yes,Salmonella,enterica,Typhimurium,2015,Region 2,No resistance detected,No determinants detected,No determinants detected,1,S,1,S,0.25,S,8,S,32,S,2,S,4,S
2015AM-0478,SAMN07508314,2015AM-0478,yes,yes,Salmonella,enterica,Typhimurium,2015,Region 2,No resistance detected,No determinants detected,No determinants detected,1,S,1,S,0.25,S,8,S,32,S,2,S,4,S
2015AM-0480,SAMN07508320,2015AM-0480,yes,yes,Salmonella,enterica,Typhimurium,2015,Region 2,No resistance detected,No determinants detected,No determinants detected,1,S,1,S,0.25,S,4,S,32,S,2,S,4,S
2015AM-0483,SAMN07508318,2015AM-0483,yes,yes,Salmonella,enterica,Typhimurium,2015,Region 2,No resistance detected,No determinants detected,No determinants detected,1,S,1,S,0.25,S,8,S,16,S,2,S,4,S
2015AM-0486,SAMN07508323,2015AM-0486,yes,yes,Salmonella,enterica,Typhimurium,2015,Region 2,No resistance detected,No determinants detected,No determinants detected,1,S,1,S,0.25,S,4,S,32,S,2,S,4,S
2015AM-0383,SAMN07260988,2015AM-0383,yes,yes,Salmonella,enterica,Typhimurium,2015,Region 8,No resistance detected,No determinants detected,No determinants detected,1,S,1,S,0.25,S,4,S,16,S,2,S,4,S
2015AM-0384,SAMN07260986,2015AM-0384,yes,yes,Salmonella,enterica,Typhimurium,2015,Region 8,No resistance detected,No determinants detected,No determinants detected,1,S,1,S,0.25,S,2,S,32,S,2,S,4,S
2015AM-0853,SAMN12098816,2015AM-0853,yes,yes,Salmonella,enterica,Typhimurium,2015,Region 3,No resistance detected,No determinants detected,No determinants detected,1,S,1,S,0.25,S,8,S,16,S,2,S,4,S
2015AM-0828,SAMN08370465,2015AM-0828,yes,yes,Salmonella,enterica,Typhimurium,2015,Region 3,ASSuAuCxTioFoxGen,aac(3)-VIa ant(3'')-Ia blaCMY-2 sul1 ,ASSuAuCxTioFoxGen,32,R,32,R,32,R,4,S,256,R,32,R,4,S
2015AM-0813,SAMN08376478,2015AM-0813,yes,yes,Salmonella,enterica,Typhimurium,2015,Region 5,T,tet(B),T,1,S,1,S,0.25,S,4,S,16,S,2,S,32,R
2015AM-0830,SAMN07281072,2015AM-0830,yes,yes,Salmonella,enterica,Typhimurium,2015,Region 3,No resistance detected,No determinants detected,No determinants detected,1,S,1,S,0.25,S,4,S,16,S,2,S,4,S
2015AM-0707,SAMN07551791,2015AM-0707,yes,yes,Salmonella,enterica,Typhimurium,2015,Region 5,No resistance detected,No determinants detected,No determinants detected,2,S,1,S,0.25,S,4,S,16,S,4,S,4,S
2015AM-0612,SAMN07286122,2015AM-0612,yes,yes,Salmonella,enterica,Typhimurium,2015,Region 8,No resistance detected,No determinants detected,No determinants detected,1,S,1,S,0.25,S,8,S,32,S,2,S,4,S
2015AM-0704,SAMN08376487,2015AM-0704,yes,yes,Salmonella,enterica,Typhimurium,2015,Region 5,CSSuTCot,aadA2 aph(3'')-Ib aph(6)-Id dfrA12 floR sul1 sul2 tet(A) ,CSSuTCotTmp,1,S,1,S,0.25,S,32,R,256,R,2,S,32,R
2015AM-0706,SAMN07522800,2015AM-0706,yes,yes,Salmonella,enterica,Typhimurium,2015,Region 5,CSSuTCot,aadA2 aph(3'')-Ib aph(6)-Id dfrA12 floR sul1 sul2 tet(A) ,CSSuTCotTmp,1,S,1,S,0.25,S,32,R,256,R,4,S,32,R
2015AM-0705,SAMN07522792,2015AM-0705,yes,yes,Salmonella,enterica,Typhimurium,2015,Region 5,No resistance detected,No determinants detected,No determinants detected,1,S,1,S,0.25,S,8,S,32,S,2,S,4,S
2015AM-0598,SAMN07281084,2015AM-0598,yes,yes,Salmonella,enterica,Typhimurium,2015,Region 1,ASuTAuCxTioFox,aph(3')-Ia blaCMY-2 sul2 tet(A) ,ASuTAuCxTioFoxKan,32,R,32,R,16,R,8,S,256,R,32,R,32,R
2015AM-0649,SAMN07415519,2015AM-0649,yes,yes,Salmonella,enterica,Typhimurium,2015,Region 4,No resistance detected,No determinants detected,No determinants detected,1,S,1,S,0.25,S,4,S,32,S,4,S,4,S
2015AM-0648,SAMN07415528,2015AM-0648,yes,yes,Salmonella,enterica,Typhimurium,2015,Region 4,ACSSuTCipNalCot,aadA2 blaCARB-2 floR gyrA(87) gyrB(466) parC(84) sul1 tet(G) ,ACSSuTCip(I/R)Nal,32,R,16,I,0.25,S,32,R,256,R,4,S,32,R
2015AM-0658,SAMN07277065,2015AM-0658,yes,yes,Salmonella,enterica,Typhimurium,2015,Region 3,ACSSuTAu,aadA2 blaCARB-2 floR sul1 tet(G) ,ACSSuT,32,R,32,R,0.25,S,32,R,256,R,2,S,32,R
2015AM-0978,SAMN08376961,2015AM-0978,yes,yes,Salmonella,enterica,Typhimurium,2015,Region 7,ACSSuT,aadA2 blaCARB-2 floR sul1 tet(G) ,ACSSuT,32,R,16,I,0.25,S,32,R,256,R,2,S,32,R
2015AM-0661,SAMN07516133,2015AM-0661,yes,yes,Salmonella,enterica,Typhimurium,2015,Region 9,ACSSuT,aadA2 aph(3')-Ia blaCARB-2 floR sul1 tet(G) ,ACSSuTKan,32,R,16,I,0.25,S,32,R,256,R,2,S,32,R
2015AM-3309,SAMN08437469,2015AM-3309,yes,yes,Salmonella,enterica,Typhimurium,2015,Region 5,ACSSuT,aadA2 blaCARB-2 floR sul1 tet(G) ,ACSSuT,32,R,16,I,0.25,S,32,R,256,R,2,S,16,R
2015AM-1035,SAMN07497989,2015AM-1035,yes,yes,Salmonella,enterica,Typhimurium,2015,Region 6,No resistance detected,No determinants detected,No determinants detected,2,S,1,S,0.25,S,4,S,32,S,2,S,4,S
2015AM-1036,SAMN07498005,2015AM-1036,yes,yes,Salmonella,enterica,Typhimurium,2015,Region 6,No resistance detected,No determinants detected,No determinants detected,1,S,1,S,0.25,S,8,S,16,S,8,S,4,S
2015AM-0986,SAMN07261003,2015AM-0986,yes,yes,Salmonella,enterica,Typhimurium,2015,Region 1,ACSSuTNalCot,aadA1 aadA2 aph(3'')-Ib aph(6)-Id blaTEM-1B cmlA1 dfrA12 qnrB19 sul2 sul3 tet(A) ,ACSSuTCip(I/R)CotTmp,32,R,8,S,0.25,S,32,R,256,R,4,S,32,R
2015AM-0760,SAMN07518807,2015AM-0760,yes,yes,Salmonella,enterica,Typhimurium,2015,Region 2,SSuT,aph(3'')-Ib aph(6)-Id sul2 tet(A) ,SSuT,1,S,1,S,0.25,S,8,S,256,R,2,S,32,R
2015AM-0759,SAMN07518829,2015AM-0759,yes,yes,Salmonella,enterica,Typhimurium,2015,Region 2,Nal,No determinants detected,No determinants detected,2,S,1,S,0.25,S,4,S,32,S,4,S,4,S
2015AM-0875,SAMN12098795,2015AM-0875,yes,yes,Salmonella,enterica,Typhimurium,2015,Region 7,No resistance detected,No determinants detected,No determinants detected,1,S,1,S,0.25,S,4,S,32,S,2,S,4,S
2015AM-0787,SAMN07280788,2015AM-0787,yes,yes,Salmonella,enterica,Typhimurium,2015,Region 3,No resistance detected,No determinants detected,No determinants detected,1,S,1,S,0.25,S,4,S,32,S,2,S,4,S
2015AM-0784,SAMN08376499,2015AM-0784,yes,yes,Salmonella,enterica,Typhimurium,2015,Region 3,ACSSuT,aadA2 aph(3')-Ia blaCARB-2 floR sul1 tet(G) ,ACSSuTKan,32,R,16,I,0.25,S,32,R,256,R,2,S,32,R
2015AM-0786,SAMN07418884,2015AM-0786,yes,yes,Salmonella,enterica,Typhimurium,2015,Region 3,No resistance detected,No determinants detected,No determinants detected,1,S,1,S,0.25,S,8,S,32,S,2,S,4,S
2015AM-0785,SAMN07280778,2015AM-0785,yes,yes,Salmonella,enterica,Typhimurium,2015,Region 3,No resistance detected,No determinants detected,No determinants detected,1,S,1,S,0.25,S,4,S,32,S,2,S,4,S
2015AM-0877,SAMN07449815,2015AM-0877,yes,yes,Salmonella,enterica,Typhimurium,2015,Region 7,No resistance detected,No determinants detected,No determinants detected,1,S,1,S,0.25,S,8,S,16,S,2,S,4,S
2015AM-0878,SAMN07449818,2015AM-0878,yes,yes,Salmonella,enterica,Typhimurium,2015,Region 7,No resistance detected,No determinants detected,No determinants detected,1,S,1,S,0.25,S,4,S,32,S,2,S,4,S
2015AM-0876,SAMN07449819,2015AM-0876,yes,yes,Salmonella,enterica,Typhimurium,2015,Region 7,No resistance detected,No determinants detected,No determinants detected,1,S,1,S,0.25,S,4,S,16,S,2,S,4,S
2015AM-0880,SAMN07449820,2015AM-0880,yes,yes,Salmonella,enterica,Typhimurium,2015,Region 7,No resistance detected,qnrS1 ,Cip(I/R),1,S,1,S,0.25,S,4,S,16,S,2,S,4,S
2015AM-0879,SAMN07449821,2015AM-0879,yes,yes,Salmonella,enterica,Typhimurium,2015,Region 7,No resistance detected,No determinants detected,No determinants detected,1,S,1,S,0.25,S,4,S,16,S,4,S,4,S
2015AM-0956,SAMN07735257,2015AM-0956,yes,yes,Salmonella,enterica,Typhimurium,2015,Region 4,No resistance detected,No determinants detected,No determinants detected,1,S,1,S,0.25,S,8,S,32,S,2,S,4,S
2015AM-0974,SAMN07450223,2015AM-0974,yes,yes,Salmonella,enterica,Typhimurium,2015,Region 4,No resistance detected,No determinants detected,No determinants detected,1,S,1,S,0.25,S,4,S,32,S,2,S,4,S
2015AM-1391,SAMN07735244,2015AM-1391,yes,yes,Salmonella,enterica,Typhimurium,2015,Region 3,No resistance detected,No determinants detected,No determinants detected,1,S,1,S,0.25,S,8,S,32,S,2,S,4,S
2015AM-1393,SAMN07735250,2015AM-1393,yes,yes,Salmonella,enterica,Typhimurium,2015,Region 3,No resistance detected,No determinants detected,No determinants detected,1,S,1,S,0.25,S,4,S,32,S,4,S,4,S
2015AM-1392,SAMN07735259,2015AM-1392,yes,yes,Salmonella,enterica,Typhimurium,2015,Region 3,No resistance detected,No determinants detected,No determinants detected,1,S,1,S,0.25,S,8,S,32,S,2,S,4,S
2015AM-1064,SAMN07508327,2015AM-1064,yes,yes,Salmonella,enterica,Typhimurium,2015,Region 2,No resistance detected,No determinants detected,No determinants detected,1,S,1,S,0.25,S,8,S,64,S,2,S,4,S
2015AM-1118,SAMN07516153,2015AM-1118,yes,yes,Salmonella,enterica,Typhimurium,2015,Region 2,ASuTAuCxTioFox,blaCMY-2 sul2 tet(A) ,ASuTAuCxTioFox,32,R,32,R,16,R,8,S,256,R,32,R,32,R
2015AM-1157,SAMN07258039,2015AM-1157,yes,yes,Salmonella,enterica,Typhimurium,2015,Region 6,No resistance detected,No determinants detected,No determinants detected,1,S,1,S,0.25,S,4,S,32,S,2,S,4,S
2015AM-1156,SAMN07258038,2015AM-1156,yes,yes,Salmonella,enterica,Typhimurium,2015,Region 6,No resistance detected,No determinants detected,No determinants detected,1,S,1,S,0.25,S,4,S,64,S,2,S,4,S
2015AM-1155,SAMN07258042,2015AM-1155,yes,yes,Salmonella,enterica,Typhimurium,2015,Region 6,No resistance detected,No determinants detected,No determinants detected,1,S,1,S,0.25,S,4,S,64,S,2,S,4,S
2015AM-1291,SAMN07375270,2015AM-1291,yes,yes,Salmonella,enterica,Typhimurium,2015,Region 4,No resistance detected,No determinants detected,No determinants detected,1,S,1,S,0.25,S,8,S,32,S,2,S,4,S
2015AM-1255,SAMN07375277,2015AM-1255,yes,yes,Salmonella,enterica,Typhimurium,2015,Region 4,No resistance detected,No determinants detected,No determinants detected,1,S,1,S,0.25,S,4,S,32,S,2,S,4,S
2015AM-1290,SAMN07375296,2015AM-1290,yes,yes,Salmonella,enterica,Typhimurium,2015,Region 4,No resistance detected,No determinants detected,No determinants detected,1,S,1,S,0.25,S,8,S,64,S,2,S,4,S
2015AM-1289,SAMN07375303,2015AM-1289,yes,yes,Salmonella,enterica,Typhimurium,2015,Region 4,No resistance detected,No determinants detected,No determinants detected,2,S,1,S,0.25,S,8,S,32,S,4,S,4,S
2015AM-1342,SAMN07281075,2015AM-1342,yes,yes,Salmonella,enterica,Typhimurium,2015,Region 3,S,No determinants detected,No determinants detected,2,S,1,S,0.25,S,4,S,32,S,4,S,4,S
2015AM-1176,SAMN07268425,2015AM-1176,yes,yes,Salmonella,enterica,Typhimurium,2015,Region 5,ACSSuT,aadA2 blaCARB-2 floR sul1 tet(G) ,ACSSuT,32,R,16,I,0.25,S,32,R,256,R,8,S,32,R
2015AM-1201,SAMN07415545,2015AM-1201,yes,yes,Salmonella,enterica,Typhimurium,2015,Region 9,No resistance detected,No determinants detected,No determinants detected,1,S,1,S,0.25,S,8,S,64,S,2,S,4,S
2015AM-1202,SAMN07415563,2015AM-1202,yes,yes,Salmonella,enterica,Typhimurium,2015,Region 9,No resistance detected,No determinants detected,No determinants detected,2,S,2,S,0.25,S,2,S,16,S,4,S,4,S
2015AM-1322,SAMN07258018,2015AM-1322,yes,yes,Salmonella,enterica,Typhimurium,2015,Region 4,No resistance detected,No determinants detected,No determinants detected,1,S,1,S,0.25,S,8,S,64,S,2,S,4,S
2015AM-1310,SAMN07260950,2015AM-1310,yes,yes,Salmonella,enterica,Typhimurium,2015,Region 9,No resistance detected,No determinants detected,No determinants detected,1,S,1,S,0.25,S,8,S,32,S,4,S,4,S
2015AM-1309,SAMN04544370,2016K-0139,yes,yes,Salmonella,enterica,Typhimurium,2015,Region 9,No resistance detected,No determinants detected,No determinants detected,1,S,1,S,0.25,S,8,S,64,S,2,S,4,S
2015AM-1366,SAMN07551808,2015AM-1366,yes,yes,Salmonella,enterica,Typhimurium,2015,Region 10,ASu,blaCARB-2 sul1 ,ASu,32,R,16,I,0.25,S,8,S,256,R,4,S,4,S
2015AM-1447,SAMN07409767,2015AM-1447,yes,yes,Salmonella,enterica,Typhimurium,2015,Region 7,No resistance detected,No determinants detected,No determinants detected,1,S,1,S,0.25,S,4,S,64,S,2,S,4,S
2015AM-1681,SAMN08376973,2015AM-1681,yes,yes,Salmonella,enterica,Typhimurium,2015,Region 5,No resistance detected,No determinants detected,No determinants detected,1,S,1,S,0.25,S,4,S,32,S,4,S,4,S
2015AM-1682,SAMN07551799,2015AM-1682,yes,yes,Salmonella,enterica,Typhimurium,2015,Region 5,No resistance detected,No determinants detected,No determinants detected,1,S,1,S,0.25,S,8,S,32,S,2,S,4,S
2015AM-1486,SAMN07449831,2015AM-1486,yes,yes,Salmonella,enterica,Typhimurium,2015,Region 7,No resistance detected,No determinants detected,No determinants detected,2,S,1,S,0.25,S,8,S,32,S,2,S,4,S
2015AM-1488,SAMN07449827,2015AM-1488,yes,yes,Salmonella,enterica,Typhimurium,2015,Region 7,No resistance detected,No determinants detected,No determinants detected,1,S,1,S,0.25,S,4,S,16,S,2,S,4,S
2015AM-1489,SAMN07449835,2015AM-1489,yes,yes,Salmonella,enterica,Typhimurium,2015,Region 7,No resistance detected,No determinants detected,No determinants detected,1,S,1,S,0.25,S,4,S,32,S,2,S,4,S
2015AM-1487,SAMN07449842,2015AM-1487,yes,yes,Salmonella,enterica,Typhimurium,2015,Region 7,No resistance detected,No determinants detected,No determinants detected,1,S,1,S,0.25,S,2,S,32,S,4,S,4,S
2015AM-1484,SAMN07449840,2015AM-1484,yes,yes,Salmonella,enterica,Typhimurium,2015,Region 7,No resistance detected,No determinants detected,No determinants detected,1,S,1,S,0.25,S,4,S,32,S,2,S,4,S
2015AM-1483,SAMN07449837,2015AM-1483,yes,yes,Salmonella,enterica,Typhimurium,2015,Region 7,No resistance detected,No determinants detected,No determinants detected,1,S,1,S,0.25,S,4,S,32,S,2,S,4,S
2015AM-1485,SAMN07449846,2015AM-1485,yes,yes,Salmonella,enterica,Typhimurium,2015,Region 7,No resistance detected,No determinants detected,No determinants detected,2,S,1,S,0.25,S,4,S,16,S,2,S,4,S
2015AM-1520,SAMN07341200,2015AM-1520,yes,yes,Salmonella,enterica,Typhimurium,2015,Region 4,No resistance detected,No determinants detected,No determinants detected,1,S,1,S,0.25,S,8,S,32,S,2,S,4,S
2015AM-1534,SAMN07341689,2015AM-1534,yes,yes,Salmonella,enterica,Typhimurium,2015,Region 4,No resistance detected,No determinants detected,No determinants detected,1,S,1,S,0.25,S,4,S,64,S,2,S,4,S
2015AM-1536,SAMN07341695,2015AM-1536,yes,yes,Salmonella,enterica,Typhimurium,2015,Region 4,No resistance detected,No determinants detected,No determinants detected,1,S,1,S,0.25,S,4,S,32,S,2,S,4,S
2015AM-1535,SAMN07341702,2015AM-1535,yes,yes,Salmonella,enterica,Typhimurium,2015,Region 4,No resistance detected,No determinants detected,No determinants detected,1,S,1,S,0.25,S,4,S,64,S,2,S,4,S
2015AM-1622,SAMN07498022,2015AM-1622,yes,yes,Salmonella,enterica,Typhimurium,2015,Region 6,No resistance detected,No determinants detected,No determinants detected,1,S,1,S,0.25,S,4,S,32,S,2,S,4,S
2015AM-1621,SAMN07498031,2015AM-1621,yes,yes,Salmonella,enterica,Typhimurium,2015,Region 6,No resistance detected,No determinants detected,No determinants detected,1,S,1,S,0.25,S,8,S,64,S,2,S,4,S
2015AM-1620,SAMN07280755,2015AM-1620,yes,yes,Salmonella,enterica,Typhimurium,2015,Region 6,No resistance detected,No determinants detected,No determinants detected,1,S,1,S,0.25,S,8,S,32,S,2,S,4,S
2015AM-1619,SAMN07280767,2015AM-1619,yes,yes,Salmonella,enterica,Typhimurium,2015,Region 6,No resistance detected,No determinants detected,No determinants detected,1,S,1,S,0.25,S,4,S,32,S,2,S,4,S
2015AM-1650,SAMN07415526,2015AM-1650,yes,yes,Salmonella,enterica,Typhimurium,2015,Region 4,No resistance detected,No determinants detected,No determinants detected,1,S,1,S,0.25,S,4,S,32,S,2,S,4,S
2015AM-1647,SAMN07415525,2015AM-1647,yes,yes,Salmonella,enterica,Typhimurium,2015,Region 4,No resistance detected,No determinants detected,No determinants detected,1,S,1,S,0.25,S,8,S,64,S,2,S,4,S
2015AM-1648,SAMN07415524,2015AM-1648,yes,yes,Salmonella,enterica,Typhimurium,2015,Region 4,No resistance detected,No determinants detected,No determinants detected,1,S,2,S,0.25,S,8,S,64,S,4,S,4,S
2015AM-1649,SAMN07415538,2015AM-1649,yes,yes,Salmonella,enterica,Typhimurium,2015,Region 4,No resistance detected,No determinants detected,No determinants detected,1,S,1,S,0.25,S,8,S,32,S,2,S,4,S
2015AM-1544,SAMN07415535,2015AM-1544,yes,yes,Salmonella,enterica,Typhimurium,2015,Region 4,No resistance detected,No determinants detected,No determinants detected,1,S,1,S,0.25,S,4,S,128,S,2,S,8,I
2015AM-1786,SAMN08376975,2015AM-1786,yes,yes,Salmonella,enterica,Typhimurium,2015,Region 2,No resistance detected,No determinants detected,No determinants detected,1,S,1,S,0.25,S,8,S,32,S,2,S,4,S
2015AM-1785,SAMN07551744,2015AM-1785,yes,yes,Salmonella,enterica,Typhimurium,2015,Region 2,No resistance detected,No determinants detected,No determinants detected,1,S,1,S,0.25,S,8,S,32,S,8,S,4,S
2015AM-1830,SAMN06187114,PNUSAS006176,yes,yes,Salmonella,enterica,Typhimurium,2015,Region 1,No resistance detected,No determinants detected,No determinants detected,1,S,1,S,0.25,S,4,S,32,S,4,S,4,S
2015AM-1935,SAMN08289249,2015AM-1935,yes,yes,Salmonella,enterica,Typhimurium,2015,Region 10,ASGen,No determinants detected,No determinants detected,32,R,4,S,0.25,S,4,S,32,S,2,S,8,I
2015AM-1818,SAMN07286119,2015AM-1818,yes,yes,Salmonella,enterica,Typhimurium,2015,Region 8,ASSuT,aph(3'')-Ib aph(6)-Id blaTEM-1B sul2 tet(B) ,ASSuT,32,R,8,S,0.25,S,8,S,256,R,2,S,32,R
2015AM-1817,SAMN07286120,2015AM-1817,yes,yes,Salmonella,enterica,Typhimurium,2015,Region 8,No resistance detected,No determinants detected,No determinants detected,1,S,1,S,0.25,S,8,S,32,S,2,S,4,S
2015AM-1908,SAMN07498534,2015AM-1908,yes,yes,Salmonella,enterica,Typhimurium,2015,Region 4,No resistance detected,No determinants detected,No determinants detected,1,S,1,S,0.25,S,8,S,32,S,2,S,4,S
2015AM-1907,SAMN07498533,2015AM-1907,yes,yes,Salmonella,enterica,Typhimurium,2015,Region 4,No resistance detected,No determinants detected,No determinants detected,1,S,1,S,0.25,S,4,S,32,S,2,S,4,S
2015AM-1906,SAMN07498546,2015AM-1906,yes,yes,Salmonella,enterica,Typhimurium,2015,Region 4,No resistance detected,No determinants detected,No determinants detected,1,S,1,S,0.25,S,8,S,32,S,2,S,4,S
2015AM-1905,SAMN07498643,2015AM-1905,yes,yes,Salmonella,enterica,Typhimurium,2015,Region 4,No resistance detected,No determinants detected,No determinants detected,1,S,1,S,0.25,S,8,S,64,S,2,S,4,S
